order_id,customer_id,customer_name,product,quantity,order_date,store_location,unit_price,total_price
10001,1127,Sophia Johnson,Smartwatch,4,2025-09-11,Toronto,200,800
10002,1460,James Brown,Bluetooth Speaker,3,2024-10-23,Ottawa,150,450
10003,861,Sophia Davis,Mouse,4,2024-01-30,Toronto,30,120
10004,1295,Sophia Davis,Mouse,4,2024-10-28,Vancouver,30,120
10005,1131,Linda Davis,Monitor,1,2025-04-20,Ottawa,300,300
10006,1096,David Davis,Smartwatch,2,2024-12-17,Toronto,200,400
10007,1725,John Smith,Laptop,1,2025-04-26,Calgary,850,850
10008,1045,Daniel Jones,Keyboard,1,2024-11-12,Vancouver,45,45
10009,1639,David Brown,Mouse,3,2025-01-31,Montreal,30,90
10010,122,David Brown,Printer,4,2024-03-29,Calgary,180,720
10011,467,Daniel Wilson,Smartphone,2,2024-08-21,Calgary,600,1200
10012,1239,Linda Smith,Laptop,2,2024-06-16,Toronto,850,1700
10013,331,James Davis,Smartwatch,2,2024-05-05,Ottawa,200,400
10014,1483,Emma Taylor,Bluetooth Speaker,4,2025-07-26,Ottawa,150,600
10015,88,Sarah Garcia,External Hard Drive,2,2024-04-29,Vancouver,95,190
10016,1397,Linda Williams,Laptop,2,2025-03-03,Toronto,850,1700
10017,1124,Sarah Johnson,Bluetooth Speaker,4,2024-07-08,Ottawa,150,600
10018,872,Mary Williams,Monitor,3,2025-09-24,Montreal,300,900
10019,1688,David Garcia,Headphones,2,2025-03-03,Toronto,120,240
10020,131,Linda Williams,Keyboard,4,2025-07-13,Toronto,45,180
10021,1686,James Garcia,Monitor,1,2024-07-20,Ottawa,300,300
10022,1333,Mary Davis,Smartwatch,4,2024-02-28,Calgary,200,800
10023,770,Mary Johnson,Headphones,1,2025-11-27,Toronto,120,120
10024,344,Sophia Johnson,Bluetooth Speaker,4,2024-08-10,Calgary,150,600
10025,1516,Daniel Smith,Headphones,2,2025-05-06,Vancouver,120,240
10026,1438,Daniel Smith,External Hard Drive,3,2024-01-11,Vancouver,95,285
10027,806,Emma Taylor,Printer,3,2025-12-01,Ottawa,180,540
10028,386,Mary Miller,Printer,2,2025-05-26,Vancouver,180,360
10029,1216,Linda Smith,Monitor,1,2024-11-05,Ottawa,300,300
10030,956,James Garcia,Monitor,4,2024-02-03,Ottawa,300,1200
10031,277,Mary Garcia,Smartwatch,2,2024-12-05,Calgary,200,400
10032,1185,Daniel Miller,Smartwatch,4,2025-10-08,Calgary,200,800
10033,460,David Wilson,Smartphone,2,2025-04-25,Vancouver,600,1200
10034,1338,Daniel Smith,External Hard Drive,2,2025-07-27,Calgary,95,190
10035,22,Alex Wilson,Smartwatch,4,2024-04-02,Toronto,200,800
10036,253,Mary Williams,Mouse,3,2025-09-19,Montreal,30,90
10037,748,Sarah Johnson,External Hard Drive,3,2024-05-12,Toronto,95,285
10038,857,Alex Brown,Smartphone,1,2025-02-22,Toronto,600,600
10039,1585,John Miller,Printer,4,2025-04-12,Ottawa,180,720
10040,475,Sophia Brown,Laptop,1,2025-03-19,Montreal,850,850
10041,1083,David Smith,Smartphone,2,2025-12-05,Ottawa,600,1200
10042,511,Emma Davis,Smartphone,1,2024-01-30,Calgary,600,600
10043,1706,Emma Smith,Monitor,2,2024-10-24,Calgary,300,600
10044,1500,Daniel Garcia,Keyboard,4,2024-03-01,Montreal,45,180
10045,700,James Taylor,Headphones,4,2025-04-02,Vancouver,120,480
